"network","model","NODF","wine","binmatnest.temperature","links","totalweight"
"M_PL_007_GC.csv","PATEFIELD",38.6123182606376,91.9439352699146,7.76818763789455,97,979
"M_PL_007_GC.csv","RND",7.71190476190476,1.75562141024075,34.3377683418105,84,84
"M_PL_007_GC.csv","MGEN",47.02429450249,94.315939155412,5.80682862325248,107,979
"M_PL_007_GC.csv","SHUFFLE",5.79727891156463,2.03724476889339,39.2102989184265,84,979
"M_PL_007_GC.csv","VAZ",37.2809523809524,95.2460427298664,5.67342237468373,84,979
"M_PL_007_GC.csv","SYTR",44.9775819418677,72.5430826575909,4.62970805567322,84,150
"M_PL_007_GC.csv","SWAP",38.3904761904762,92.7126189301696,6.17283711003085,84,979
"M_PL_007_GC.csv","WRND",7.21598639455782,-1.79530417859276,37.1801162757761,84,979
"M_PL_007_GC.csv","BVAZ",11.9571428571429,26.9299463867798,23.7530661109437,84,84
"M_PL_007_GC.csv","BSHUFFLE",21.6046691403834,57.5458896483942,11.3377204500895,84,84
"M_PL_007_GC.csv","PATEFIELD",43.5190476190476,95.2245228309644,6.3547349016946,98,979
"M_PL_007_GC.csv","RND",9.14047619047619,6.22665644792515,26.7579987268004,84,84
"M_PL_007_GC.csv","MGEN",45.4643537414966,94.3407440980245,10.9055089443909,114,979
"M_PL_007_GC.csv","SHUFFLE",7.22040816326531,-10.4304227733978,50.6770529718372,84,979
"M_PL_007_GC.csv","VAZ",35.4128851540616,88.6029211818444,6.04876052747753,84,979
"M_PL_007_GC.csv","SYTR",29.5518707482993,59.6794906843818,4.30530212046453,84,138
"M_PL_007_GC.csv","SWAP",36.5480442176871,92.5268370063243,6.23126566655384,84,979
"M_PL_007_GC.csv","WRND",6.39081632653061,-2.94796784844292,39.697572884307,84,979
"M_PL_007_GC.csv","BVAZ",18.348482469911,44.1697995924929,19.1567277500243,84,84
"M_PL_007_GC.csv","BSHUFFLE",22.7769944341373,58.8076063998997,11.0032899204748,84,84
"M_PL_007_GC.csv","PATEFIELD",40.425,93.2288693256168,6.75702026169425,106,979
"M_PL_007_GC.csv","RND",8.04489795918367,17.5454648039901,31.6769109793133,84,84
"M_PL_007_GC.csv","MGEN",42.1462585034014,87.5694602716182,11.4478444899524,114,979
"M_PL_007_GC.csv","SHUFFLE",9.24642857142857,15.6711127179417,34.340896879743,84,979
"M_PL_007_GC.csv","VAZ",38.8460317460317,92.6294353352113,6.13895517994927,84,979
"M_PL_007_GC.csv","SYTR",52.6050785531604,82.4071959383399,4.48623154918636,84,169
"M_PL_007_GC.csv","SWAP",28.6006802721088,86.1656173431672,7.04202613605385,84,979
"M_PL_007_GC.csv","WRND",6.54931972789116,3.84880133711461,34.8662207583485,84,979
"M_PL_007_GC.csv","BVAZ",13.0034013605442,27.2400617162502,27.9368983569948,84,84
"M_PL_007_GC.csv","BSHUFFLE",21.6669140383426,53.9777290145445,10.6777832248954,84,84
